Date,Open,High,Low,Close,Adj Close,Volume
2011-01-23,2.74,2.74,2.72,2.74,2.74,6086
2011-01-24,2.74,2.74,2.73,2.73,2.73,600
2011-01-25,2.74,2.74,2.72,2.73,2.73,18645
2011-01-26,2.71,2.73,2.7,2.7,2.7,6200
2011-01-27,2.71,2.71,2.7,2.7,2.7,11900
2011-01-30,2.7,2.7,2.7,2.7,2.7,30198
2011-01-31,2.7,2.7,2.66,2.66,2.66,17593
2011-02-01,2.67,2.67,2.65,2.67,2.67,17000
2011-02-02,2.67,2.7,2.67,2.67,2.67,7615
2011-02-03,2.67,2.7,2.67,2.69,2.69,6869
2011-02-06,2.68,2.68,2.65,2.66,2.66,15226
2011-02-07,2.65,2.65,2.65,2.65,2.65,11642
2011-02-08,2.62,2.62,2.55,2.59,2.59,27694
2011-02-09,2.59,2.65,2.59,2.65,2.65,27764
2011-02-10,2.66,2.66,2.6,2.6,2.6,17927
2011-02-13,2.65,2.65,2.65,2.65,2.65,41100
2011-02-14,2.65,2.65,2.64,2.64,2.64,27859
2011-02-15,2.64,2.65,2.64,2.64,2.64,25362
2011-02-16,2.65,2.65,2.63,2.63,2.63,17650
2011-02-17,2.63,2.63,2.63,2.63,2.63,10655
2011-02-20,2.65,2.65,2.65,2.65,2.65,3188
2011-02-21,2.65,2.65,2.63,2.64,2.64,12670
2011-02-22,2.63,2.63,2.54,2.54,2.54,24298
2011-02-23,2.63,2.63,2.54,2.54,2.54,7080
2011-02-24,2.54,2.62,2.54,2.56,2.56,19684
2011-02-27,2.58,2.62,2.52,2.62,2.62,17445
2011-02-28,2.61,2.61,2.6,2.6,2.6,3800
2011-03-01,2.57,2.58,2.54,2.54,2.54,13491
2011-03-02,2.52,2.52,2.52,2.52,2.52,400
2011-03-03,2.52,2.52,2.51,2.51,2.51,3665
2011-03-06,2.51,2.62,2.5,2.62,2.62,36780
2011-03-07,2.62,2.62,2.61,2.62,2.62,15070
2011-03-08,2.61,2.61,2.5,2.52,2.52,14775
2011-03-09,2.55,2.62,2.55,2.61,2.61,27500
2011-03-10,2.56,2.56,2.55,2.55,2.55,11971
2011-03-13,2.54,2.55,2.54,2.55,2.55,6624
2011-03-14,2.51,2.51,2.5,2.51,2.51,45308
2011-03-15,2.5,2.5,2.43,2.43,2.43,53690
2011-03-16,2.41,2.41,2.3,2.4,2.4,37380
2011-03-17,2.4,2.49,2.4,2.48,2.48,6400
2011-03-20,2.48,2.49,2.45,2.48,2.48,23600
2011-03-21,2.48,2.52,2.48,2.52,2.52,12411
2011-03-22,2.52,2.53,2.49,2.53,2.53,29496
2011-03-23,2.53,2.53,2.5,2.5,2.5,6678
2011-03-24,2.5,2.52,2.5,2.5,2.5,10517
2011-03-27,2.5,2.5,2.4,2.44,2.44,25900
2011-03-28,2.45,2.45,2.44,2.44,2.44,15149
2011-03-29,2.42,2.44,2.42,2.44,2.44,19269
2011-03-30,2.49,2.5,2.49,2.5,2.5,7975
2011-03-31,2.5,2.5,2.49,2.5,2.5,20915
2011-04-03,2.49,2.49,2.49,2.49,2.49,800
2011-04-04,2.49,2.5,2.49,2.49,2.49,19250
2011-04-05,2.48,2.49,2.46,2.49,2.49,22816
2011-04-06,2.49,2.5,2.49,2.5,2.5,14255
2011-04-07,2.5,2.5,2.49,2.5,2.5,35420
2011-04-10,2.5,2.5,2.49,2.49,2.49,10622
2011-04-11,2.5,2.5,2.48,2.5,2.5,26000
2011-04-14,2.5,2.53,2.5,2.53,2.53,10000
2011-04-17,2.51,2.51,2.48,2.48,2.48,7350
2011-04-19,2.49,2.5,2.49,2.5,2.5,11095
2011-04-20,2.5,2.5,2.49,2.5,2.5,23575
2011-04-25,2.5,2.51,2.5,2.51,2.51,2100
2011-04-26,2.52,2.56,2.52,2.56,2.56,32821
2011-04-27,2.56,2.56,2.5,2.5,2.5,17915
2011-04-28,2.51,2.55,2.51,2.55,2.55,12325
2011-05-01,2.5,2.52,2.5,2.52,2.52,11508
2011-05-02,2.49,2.49,2.48,2.48,2.48,13217
2011-05-03,2.49,2.5,2.49,2.49,2.49,21548
2011-05-04,2.48,2.48,2.48,2.48,2.48,12000
2011-05-05,2.49,2.49,2.47,2.47,2.47,6650
2011-05-08,2.47,2.47,2.45,2.45,2.45,20500
2011-05-09,2.45,2.49,2.45,2.49,2.49,31256
2011-05-10,2.5,2.52,2.5,2.52,2.52,30745
2011-05-11,2.5,2.5,2.49,2.49,2.49,13275
2011-05-12,2.5,2.5,2.48,2.48,2.48,12500
2011-05-15,2.45,2.48,2.45,2.48,2.48,1500
2011-05-16,2.48,2.48,2.48,2.48,2.48,24391
2011-05-17,2.47,2.48,2.47,2.47,2.47,3850
2011-05-18,2.47,2.48,2.47,2.48,2.48,7810
2011-05-19,2.5,2.52,2.5,2.5,2.5,46547
2011-05-22,2.51,2.51,2.49,2.5,2.5,52290
2011-05-23,2.51,2.51,2.49,2.49,2.49,9399
2011-05-24,2.49,2.49,2.49,2.49,2.49,108
2011-05-25,2.49,2.5,2.48,2.5,2.5,19800
2011-05-26,2.5,2.5,2.47,2.47,2.47,3300
2011-05-29,2.47,2.47,2.45,2.45,2.45,18960
2011-05-30,2.47,2.47,2.4,2.4,2.4,10900
2011-05-31,2.43,2.47,2.42,2.47,2.47,5015
2011-06-01,2.47,2.47,2.4,2.41,2.41,11435
2011-06-02,2.4,2.41,2.4,2.41,2.41,12089
2011-06-06,2.4,2.4,2.4,2.4,2.4,14740
2011-06-07,2.4,2.4,2.39,2.39,2.39,20648
2011-06-08,2.38,2.38,2.35,2.35,2.35,8500
2011-06-09,2.35,2.35,2.3,2.35,2.35,7600
2011-06-12,2.26,2.26,2.2,2.2,2.2,8072
2011-06-13,2.2,2.25,2.2,2.22,2.22,16550
2011-06-14,2.21,2.21,2.2,2.21,2.21,6000
2011-06-15,2.2,2.2,2.18,2.2,2.2,19355
2011-06-16,2.2,2.25,2.2,2.25,2.25,17500
2011-06-20,2.21,2.25,2.16,2.16,2.16,35650
2011-06-21,2.2,2.2,2.16,2.2,2.2,9689
2011-06-22,2.2,2.2,2.18,2.18,2.18,10314
2011-06-23,2.2,2.2,2.2,2.2,2.2,23196
2011-06-26,2.2,2.2,2.17,2.2,2.2,9378
2011-06-27,2.21,2.21,2.17,2.17,2.17,32650
2011-06-28,2.2,2.2,2.2,2.2,2.2,12000
2011-06-29,2.17,2.17,2.16,2.16,2.16,6210
2011-06-30,2.16,2.2,2.16,2.2,2.2,20252
2011-07-03,2.2,2.2,2.19,2.19,2.19,1935
2011-07-04,2.17,2.17,2.04,2.04,2.04,25387
2011-07-05,2.07,2.1,2.06,2.1,2.1,71612
2011-07-06,2.12,2.12,2.1,2.1,2.1,68500
2011-07-07,2.1,2.1,2.1,2.1,2.1,106883
2011-07-10,2.1,2.1,2.1,2.1,2.1,27866
2011-07-11,2.1,2.1,2.1,2.1,2.1,4450
2011-07-12,2.1,2.1,2.1,2.1,2.1,27425
2011-07-13,2.1,2.1,2.09,2.1,2.1,9222
2011-07-14,2.1,2.15,2.1,2.15,2.15,37480
2011-07-17,2.12,2.12,2.12,2.12,2.12,3000
2011-07-18,2.13,2.13,2.13,2.13,2.13,23015
2011-07-19,2.13,2.15,2.12,2.15,2.15,22237
2011-07-20,2.2,2.24,2.2,2.24,2.24,36569
2011-07-21,2.25,2.49,2.25,2.43,2.43,75228
2011-07-24,2.45,2.45,2.4,2.42,2.42,33150
2011-07-25,2.45,2.49,2.45,2.48,2.48,54972
2011-07-26,2.48,2.5,2.46,2.5,2.5,31516
2011-07-27,2.48,2.48,2.45,2.45,2.45,10742
2011-07-28,2.45,2.48,2.45,2.46,2.46,28070
2011-07-31,2.46,2.5,2.46,2.5,2.5,50138
2011-08-01,2.5,2.5,2.48,2.5,2.5,21975
2011-08-02,2.5,2.5,2.48,2.48,2.48,13508
2011-08-03,2.5,2.55,2.5,2.55,2.55,64435
2011-08-04,2.42,2.42,2.27,2.29,2.29,86006
2011-08-07,2.29,2.35,2.22,2.35,2.35,41159
2011-08-08,2.32,2.34,2.25,2.34,2.34,46455
2011-08-09,2.4,2.45,2.4,2.4,2.4,34197
2011-08-10,2.39,2.44,2.32,2.32,2.32,16500
2011-08-11,2.38,2.49,2.38,2.4,2.4,11812
2011-08-14,2.4,2.5,2.4,2.5,2.5,15675
2011-08-15,2.55,2.55,2.5,2.5,2.5,11852
2011-08-16,2.5,2.55,2.43,2.55,2.55,20635
2011-08-17,2.51,2.51,2.51,2.51,2.51,36681
2011-08-18,2.51,2.51,2.46,2.5,2.5,19619
2011-08-21,2.55,2.55,2.54,2.55,2.55,15200
2011-08-22,2.55,2.57,2.55,2.57,2.57,65924
2011-08-24,2.54,2.65,2.54,2.65,2.65,5561
2011-08-25,2.65,2.8,2.65,2.75,2.75,20629
2011-08-28,2.74,2.74,2.66,2.68,2.68,10022
2011-08-29,2.72,2.77,2.72,2.72,2.72,29600
2011-08-30,2.77,2.77,2.72,2.74,2.74,14242
2011-08-31,2.8,2.8,2.68,2.72,2.72,57677
2011-09-01,2.68,2.68,2.68,2.68,2.68,6290
2011-09-04,2.68,2.68,2.6,2.6,2.6,28280
2011-09-05,2.6,2.65,2.6,2.65,2.65,5156
2011-09-07,2.7,2.77,2.7,2.77,2.77,7418
2011-09-08,2.77,2.95,2.77,2.85,2.85,72135
2011-09-11,2.9,2.9,2.77,2.77,2.77,11760
2011-09-12,2.78,2.78,2.65,2.65,2.65,20850
2011-09-13,2.7,2.7,2.7,2.7,2.7,2500
2011-09-14,2.7,2.7,2.7,2.7,2.7,8055
2011-09-18,2.72,2.88,2.72,2.75,2.75,19550
2011-09-19,2.75,2.76,2.75,2.76,2.76,11850
2011-09-20,2.8,2.8,2.78,2.78,2.78,17520
2011-09-21,2.8,2.8,2.75,2.75,2.75,8210
2011-09-22,2.8,2.8,2.75,2.75,2.75,8210
2011-09-25,2.75,2.75,2.68,2.68,2.68,23500
2011-09-26,2.68,2.68,2.64,2.68,2.68,28429
2011-09-28,2.7,2.7,2.7,2.7,2.7,4370
2011-10-03,2.67,2.7,2.65,2.7,2.7,8404
2011-10-04,2.7,2.72,2.7,2.72,2.72,28439
2011-10-05,2.73,2.74,2.73,2.74,2.74,3165
2011-10-06,2.76,2.76,2.74,2.74,2.74,6000
2011-10-09,2.76,2.76,2.7,2.7,2.7,70161
2011-10-10,2.69,2.69,2.69,2.69,2.69,8639
2011-10-11,2.75,2.75,2.75,2.75,2.75,10843
2011-10-12,2.73,2.73,2.7,2.7,2.7,4000
2011-10-13,2.7,2.7,2.66,2.66,2.66,3086
2011-10-16,2.66,2.67,2.65,2.65,2.65,8297
2011-10-17,2.66,2.67,2.65,2.65,2.65,12830
2011-10-18,2.67,2.67,2.65,2.65,2.65,3195
2011-10-19,2.65,2.65,2.65,2.65,2.65,630
2011-10-20,2.7,2.7,2.7,2.7,2.7,700
2011-10-24,2.72,2.8,2.72,2.8,2.8,41381
2011-10-25,2.82,2.82,2.81,2.81,2.81,890
2011-10-26,2.8,2.8,2.8,2.8,2.8,2000
2011-10-27,2.8,2.82,2.8,2.82,2.82,10200
2011-10-30,2.77,2.9,2.77,2.9,2.9,38493
2011-10-31,2.9,2.95,2.9,2.85,2.85,12707
2011-11-01,2.86,2.88,2.85,2.88,2.88,37250
2011-11-02,2.85,2.88,2.85,2.85,2.85,17437
2011-11-03,2.8,2.8,2.8,2.8,2.8,396
2011-11-06,2.81,2.9,2.8,2.88,2.88,62162
2011-11-07,2.9,2.9,2.87,2.88,2.88,16194
2011-11-08,2.88,2.88,2.8,2.8,2.8,28525
2011-11-09,2.85,2.85,2.8,2.8,2.8,15870
2011-11-10,2.8,2.8,2.78,2.78,2.78,2930
2011-11-13,2.75,2.8,2.75,2.8,2.8,6300
2011-11-14,2.78,2.8,2.78,2.8,2.8,11000
2011-11-15,2.8,2.8,2.8,2.8,2.8,4900
2011-11-16,2.8,2.8,2.8,2.8,2.8,11081
2011-11-17,2.9,2.95,2.8,2.8,2.8,17755
2011-11-20,2.81,2.85,2.75,2.85,2.85,54650
2011-11-21,2.8,2.8,2.8,2.8,2.8,18900
2011-11-22,2.8,2.9,2.8,2.9,2.9,8452
2011-11-23,2.87,2.87,2.8,2.8,2.8,14143
2011-11-24,2.75,2.78,2.75,2.75,2.75,41480
2011-11-27,2.74,2.75,2.74,2.75,2.75,34311
2011-11-28,2.75,2.8,2.75,2.8,2.8,30341
2011-11-29,2.8,2.8,2.75,2.75,2.75,21704
2011-11-30,2.75,2.8,2.7,2.7,2.7,11612
2011-12-01,2.71,2.79,2.7,2.79,2.79,7727
2011-12-04,2.79,2.79,2.79,2.79,2.79,0
2011-12-05,2.73,2.73,2.73,2.73,2.73,9610
2011-12-06,2.72,2.72,2.65,2.65,2.65,10318
2011-12-07,2.65,2.65,2.55,2.55,2.55,23901
2011-12-08,2.55,2.67,2.5,2.67,2.67,29123
2011-12-11,2.69,2.69,2.69,2.69,2.69,1000
2011-12-12,2.65,2.65,2.65,2.65,2.65,5100
2011-12-13,2.64,2.75,2.64,2.75,2.75,23739
2011-12-14,2.65,2.65,2.65,2.65,2.65,1000
2011-12-15,2.7,2.77,2.7,2.74,2.74,10000
2011-12-18,2.74,2.75,2.71,2.75,2.75,9404
2011-12-19,2.72,2.72,2.72,2.72,2.72,6000
2011-12-20,2.75,2.75,2.72,2.72,2.72,10250
2011-12-21,2.74,2.74,2.72,2.72,2.72,10446
2011-12-22,2.71,2.72,2.71,2.72,2.72,4241
2011-12-27,2.71,2.8,2.71,2.79,2.79,19741
2011-12-28,2.79,2.79,2.75,2.76,2.76,12000
2011-12-29,2.76,2.76,2.76,2.76,2.76,0
2012-01-02,2.76,2.76,2.76,2.76,2.76,0
2012-01-03,2.78,2.8,2.78,2.8,2.8,5842
2012-01-04,2.8,2.8,2.8,2.8,2.8,6956
2012-01-05,2.8,2.8,2.8,2.8,2.8,5502
2012-01-08,2.78,2.78,2.7,2.7,2.7,23960
2012-01-09,2.69,2.69,2.65,2.65,2.65,15200
2012-01-10,2.65,2.68,2.65,2.68,2.68,5502
2012-01-11,2.68,2.68,2.68,2.68,2.68,0
2012-01-12,2.68,2.68,2.68,2.68,2.68,0
2012-01-15,2.66,2.66,2.65,2.65,2.65,14045
2012-01-16,2.62,2.62,2.6,2.6,2.6,6500
2012-01-17,2.6,2.65,2.6,2.6,2.6,15830
2012-01-18,2.59,2.6,2.58,2.6,2.6,10595
2012-01-19,2.58,2.58,2.54,2.54,2.54,14900
2012-01-22,2.55,2.55,2.5,2.5,2.5,13323
2012-01-23,2.5,2.5,2.41,2.41,2.41,5000
2012-01-24,2.45,2.55,2.45,2.55,2.55,46604
2012-01-25,2.54,2.89,2.54,2.89,2.89,131855
2012-01-26,2.9,2.9,2.8,2.9,2.9,183854
2012-01-29,2.9,2.91,2.9,2.9,2.9,35867
